city,state_id,state_name,county_fips,county_name,zips
Grantwood Village,MO,Missouri,29189,St. Louis,63123
New Preston,CT,Connecticut,9005,Litchfield,6777
Vista West,WY,Wyoming,56025,Natrona,82604
Greers Ferry,AR,Arkansas,5023,Cleburne,72067
Hillside,NY,New York,36111,Ulster,12401
Paxton,FL,Florida,12131,Walton,32567 32538
Marion,MI,Michigan,26133,Osceola,49665
Export,PA,Pennsylvania,42129,Westmoreland,15632
Primghar,IA,Iowa,19141,O'Brien,51245
Mendocino,CA,California,6045,Mendocino,95460
Buffalo Center,IA,Iowa,19189,Winnebago,50424
West Winfield,NY,New York,36043,Herkimer,13491
Merrill,OR,Oregon,41035,Klamath,97633
Seiling,OK,Oklahoma,40043,Dewey,73663
Indian Lake,TX,Texas,48061,Cameron,78566
Oakland,IL,Illinois,17029,Coles,61943
La Fargeville,NY,New York,36045,Jefferson,13656
Silverdale,PA,Pennsylvania,42017,Bucks,18962 18944
Plantation,KY,Kentucky,21111,Jefferson,40242
Donnellson,IA,Iowa,19111,Lee,52625
McBee,SC,South Carolina,45025,Chesterfield,29101
Oljato-Monument Valley,UT,Utah,49037,San Juan,84536
Woodmere,OH,Ohio,39035,Cuyahoga,44122
Tangipahoa,LA,Louisiana,22105,Tangipahoa,70465
East Tulare Villa,CA,California,6107,Tulare,93274
Chester,MT,Montana,30051,Liberty,59522
Dollar Bay,MI,Michigan,26061,Houghton,49922 49930
Rio,FL,Florida,12085,Martin,34957
Dewar,OK,Oklahoma,40111,Okmulgee,74431
Lake Arrowhead,WI,Wisconsin,55001,Adams,54457
Lasara,TX,Texas,48489,Willacy,78580 78561
Brandon,WI,Wisconsin,55039,Fond du Lac,53919
Annawan,IL,Illinois,17073,Henry,61234 61344
Wiley Ford,WV,West Virginia,54057,Mineral,26767 26753
Pine Hill,AL,Alabama,1131,Wilcox,36769
Rockford,TN,Tennessee,47009,Blount,37853 37804
Newell,IA,Iowa,19021,Buena Vista,50568
Riegelsville,PA,Pennsylvania,42017,Bucks,18077
Rocky Boy West,MT,Montana,30015,Chouteau,59521
New Holland,OH,Ohio,39129,Pickaway,43145
White Swan,WA,Washington,53077,Yakima,98952
Rankin,TX,Texas,48461,Upton,79778
West Salem,IL,Illinois,17047,Edwards,62476
Woodsville,NH,New Hampshire,33009,Grafton,3785
Alamo,NM,New Mexico,35053,Socorro,87825
St. Paul,VA,Virginia,51195,Wise,24224 24283
Longport,NJ,New Jersey,34001,Atlantic,8403
Mendon,MI,Michigan,26149,St. Joseph,49072
Bunker Hill,IN,Indiana,18103,Miami,46914
Blacklake,CA,California,6079,San Luis Obispo,93444
Lenox,GA,Georgia,13075,Cook,31637
Indian Springs,TX,Texas,48373,Polk,77351
White Plains,AL,Alabama,1015,Calhoun,36207
Mignon,AL,Alabama,1121,Talladega,35150
Sunol,CA,California,6001,Alameda,94586
Mission,OR,Oregon,41059,Umatilla,97801
Spaulding,IL,Illinois,17167,Sangamon,62561
Winthrop,IA,Iowa,19019,Buchanan,50682
Gouldsboro,PA,Pennsylvania,42127,Wayne,18424
Dunkerton,IA,Iowa,19013,Black Hawk,50626
Maywood Park,OR,Oregon,41051,Multnomah,97220
Inwood,IA,Iowa,19119,Lyon,51240
Star,NC,North Carolina,37123,Montgomery,27356
Frederica,DE,Delaware,10001,Kent,19946
Chappell,NE,Nebraska,31049,Deuel,69129
McLouth,KS,Kansas,20087,Jefferson,66054
Mount Jewett,PA,Pennsylvania,42083,McKean,16740
Log Lane Village,CO,Colorado,8087,Morgan,80705
Inman Mills,SC,South Carolina,45083,Spartanburg,29349
Colcord,OK,Oklahoma,40041,Delaware,74338
South Wallins,KY,Kentucky,21095,Harlan,40873
Madisonville,LA,Louisiana,22103,St. Tammany,70447
Talbotton,GA,Georgia,13263,Talbot,31827
Pentwater,MI,Michigan,26127,Oceana,49449
Neffs,OH,Ohio,39013,Belmont,43940 43906
Paw Paw,IL,Illinois,17103,Lee,61353
Naches,WA,Washington,53077,Yakima,98937
Hailesboro,NY,New York,36089,St. Lawrence,13642 13645
Stonington,IL,Illinois,17021,Christian,62567
Puxico,MO,Missouri,29207,Stoddard,63960
Bentleyville,OH,Ohio,39035,Cuyahoga,44022
Gassaway,WV,West Virginia,54007,Braxton,26624
Readlyn,IA,Iowa,19017,Bremer,50668
Fordland,MO,Missouri,29225,Webster,65652
Braymer,MO,Missouri,29025,Caldwell,64624
Lilydale,MN,Minnesota,27037,Dakota,55118
Cobb Island,MD,Maryland,24017,Charles,20625 20664
Caspian,MI,Michigan,26071,Iron,49915 49935
Maguayo,PR,Puerto Rico,72079,Lajas,667
Sentinel,OK,Oklahoma,40149,Washita,73664
Crenshaw,MS,Mississippi,28119,Quitman,38621
Greenville,GA,Georgia,13199,Meriwether,30222
Valley View,TX,Texas,48097,Cooke,76272
Ruston,WA,Washington,53053,Pierce,98407
Mazeppa,MN,Minnesota,27157,Wabasha,55956
Heidlersburg,PA,Pennsylvania,42001,Adams,17304 17372 17325
Huntland,TN,Tennessee,47051,Franklin,37345
Summerland,CA,California,6083,Santa Barbara,93013 93067 93108
Isleton,CA,California,6067,Sacramento,95641
Lake Latonka,PA,Pennsylvania,42085,Mercer,16137
Hackett,AR,Arkansas,5131,Sebastian,72937
Elephant Head,AZ,Arizona,4019,Pima,85645
Happy Camp,CA,California,6093,Siskiyou,96039 96049
Fincastle,KY,Kentucky,21111,Jefferson,40241
Bruno,WV,West Virginia,54045,Logan,25611
Sanford,MI,Michigan,26111,Midland,48657
Apple Valley,UT,Utah,49053,Washington,84763 84737
Rich Square,NC,North Carolina,37131,Northampton,27869
Gratis,OH,Ohio,39135,Preble,45330
Minor,AL,Alabama,1073,Jefferson,35224
Forest Hill,LA,Louisiana,22079,Rapides,71430
Pellston,MI,Michigan,26047,Emmet,49769
Witt,IL,Illinois,17135,Montgomery,62094
Burnside,KY,Kentucky,21199,Pulaski,42503 42519 42544 42518
Cameron,WV,West Virginia,54051,Marshall,26033
Betances,PR,Puerto Rico,72023,Cabo Rojo,623
Osceola,NE,Nebraska,31143,Polk,68651
Paris,PA,Pennsylvania,42125,Washington,15021
Illiopolis,IL,Illinois,17167,Sangamon,62539
Rutledge,GA,Georgia,13211,Morgan,30663
South Fork,PA,Pennsylvania,42021,Cambria,15956
Gayle Mill,SC,South Carolina,45023,Chester,29706
Kenansville,NC,North Carolina,37061,Duplin,28349
Seligman,MO,Missouri,29009,Barry,65745
Laurel Park,VA,Virginia,51089,Henry,24112
Togiak,AK,Alaska,2070,Dillingham,99678
Lake Victoria,MI,Michigan,26037,Clinton,48848
Potrero,CA,California,6073,San Diego,91963
Eastover,SC,South Carolina,45079,Richland,29044
Crystal Springs,FL,Florida,12101,Pasco,33540 33524
Selawik,AK,Alaska,2188,Northwest Arctic,99770
Malott,WA,Washington,53047,Okanogan,98840 98829
Maben,MS,Mississippi,28105,Oktibbeha,39750
Harmony,PA,Pennsylvania,42019,Butler,16063 16037
Dunkirk,OH,Ohio,39065,Hardin,45836
Morgan,MN,Minnesota,27127,Redwood,56266
Emily,MN,Minnesota,27035,Crow Wing,56447
Riegelwood,NC,North Carolina,37047,Columbus,28456
South Weldon,NC,North Carolina,37083,Halifax,27890
Lumberport,WV,West Virginia,54033,Harrison,26386
Armstrong,IA,Iowa,19063,Emmet,50514
Loreauville,LA,Louisiana,22045,Iberia,70552
Alger,OH,Ohio,39065,Hardin,45812
Dobbins Heights,NC,North Carolina,37153,Richmond,28345
Bloomsbury,NJ,New Jersey,34019,Hunterdon,8804
Supreme,LA,Louisiana,22007,Assumption,70390
McGregor,IA,Iowa,19043,Clayton,52157
Jonesville,SC,South Carolina,45087,Union,29353
Teec Nos Pos,AZ,Arizona,4001,Apache,86514
Trezevant,TN,Tennessee,47017,Carroll,38258
Waverly,MO,Missouri,29107,Lafayette,64096
Elizabeth,WV,West Virginia,54105,Wirt,26143
Snead,AL,Alabama,1009,Blount,35952
Hooper,NE,Nebraska,31053,Dodge,68031
Enderlin,ND,North Dakota,38073,Ransom,58027
Hatfield,IN,Indiana,18147,Spencer,47634
Skyline,AL,Alabama,1071,Jackson,35768 35776
Lake City,MI,Michigan,26113,Missaukee,49651
Wagener,SC,South Carolina,45003,Aiken,29164
